player_name,years_played,year_drafted,draft_pick_overall
Precious Achiuwa,0,2020,20
Jaylen Adams,2,2018,61
Steven Adams,7,2013,12
Bam Adebayo,3,2017,14
LaMarcus Aldridge,14,2006,2
Ty-Shon Alexander,0,2020,61
Nickeil Alexander-Walker,1,2019,17
Grayson Allen,2,2018,21
Jarrett Allen,4,2017,22
Al-Farouq Aminu,10,2010,8
Kyle Anderson,6,2014,30
Giannis Antetokounmpo,7,2013,15
Kostas Antetokounmpo,2,2018,60
Thanasis Antetokounmpo,2,2014,51
Carmelo Anthony,18,2003,3
Cole Anthony,0,2020,15
OG Anunoby,3,2017,23
Ryan Arcidiacono,3,2016,61
D.J. Augustin,15,2008,9
Deni Avdija,0,2020,9
Deandre Ayton,2,2018,1
Udoka Azubuike,0,2020,27
Dwayne Bacon,3,2017,40
Marvin Bagley III,2,2018,2
LaMelo Ball,0,2020,3
Lonzo Ball,3,2017,2
Mo Bamba,2,2018,6
Desmond Bane,0,2020,30
Harrison Barnes,9,2012,7
RJ Barrett,1,2019,3
Will Barton,9,2012,40
Keita Bates-Diop,3,2018,48
Nicolas Batum,12,2008,25
Aron Baynes,8,2009,61
Kent Bazemore,10,2012,61
Darius Bazley,1,2019,23
Bradley Beal,8,2012,3
Malik Beasley,5,2016,19
Jordan Bell,5,2017,38
DeAndre' Bembry,4,2016,21
Dāvis Bertāns,4,2011,42
Patrick Beverley,8,2009,42
Saddiq Bey,0,2020,19
Tyler Bey,0,2020,36
Khem Birch,2,2014,61
Goga Bitadze,1,2019,18
Bismack Biyombo,9,2011,7
Nemanja Bjelica,5,2010,35
Eric Bledsoe,11,2010,18
Keljin Blevins,0,2019,61
Bogdan Bogdanović,3,2014,27
Bojan Bogdanović,7,2011,31
Bol Bol,1,2019,44
Marques Bolden,1,2019,61
Jordan Bone,1,2019,57
Isaac Bonga,2,2018,39
Devin Booker,5,2015,13
Chris Boucher,3,2017,61
Brian Bowen,1,2019,61
Avery Bradley,12,2010,19
